FREQUENCY,ELEVATION,PROBABILITY,ATTENUATION
7.5000e+01, 5.5000e+01, 5.0000e-04, 1.3363e+02
7.5000e+01, 5.5000e+01, 1.0000e-03, 1.2204e+02
7.5000e+01, 5.5000e+01, 3.0000e-03, 9.9665e+01
7.5000e+01, 5.5000e+01, 5.0000e-03, 8.8600e+01
7.5000e+01, 5.5000e+01, 1.0000e-02, 7.3856e+01
7.5000e+01, 5.5000e+01, 1.6000e-02, 6.4401e+01
7.5000e+01, 5.5000e+01, 2.7000e-02, 5.4659e+01
7.5000e+01, 5.5000e+01, 4.5000e-02, 4.6107e+01
7.5000e+01, 5.5000e+01, 7.7000e-02, 3.8237e+01
7.5000e+01, 5.5000e+01, 1.3000e-01, 3.1488e+01
7.5000e+01, 5.5000e+01, 2.1000e-01, 2.6067e+01
7.5000e+01, 5.5000e+01, 3.5000e-01, 2.1150e+01
7.5000e+01, 5.5000e+01, 6.0000e-01, 1.6814e+01
7.5000e+01, 5.5000e+01, 9.5000e-01, 1.3824e+01
7.5000e+01, 5.5000e+01, 1.7000e+00, 1.0650e+01
7.5000e+01, 5.5000e+01, 3.0000e+00, 8.2238e+00
7.5000e+01, 5.5000e+01, 5.1000e+00, 6.3160e+00
7.5000e+01, 5.5000e+01, 8.3000e+00, 4.8435e+00
7.5000e+01, 5.5000e+01, 1.2000e+01, 3.8737e+00
7.5000e+01, 5.5000e+01, 1.9000e+01, 2.7998e+00
7.5000e+01, 5.5000e+01, 3.0000e+01, 1.9320e+00
7.5000e+01, 5.5000e+01, 4.0000e+01, 1.6112e+00
7.5000e+01, 5.5000e+01, 5.0000e+01, 1.3823e+00
7.5000e+01, 5.5000e+01, 6.0000e+01, 1.2950e+00
7.5000e+01, 5.5000e+01, 7.0000e+01, 1.2510e+00
7.5000e+01, 5.5000e+01, 8.0000e+01, 1.2186e+00
7.5000e+01, 5.5000e+01, 9.9990e+01, 1.1756e+00
7.5000e+01, 6.0000e+01, 5.0000e-04, 1.3220e+02
7.5000e+01, 6.0000e+01, 1.0000e-03, 1.2066e+02
7.5000e+01, 6.0000e+01, 3.0000e-03, 9.8430e+01
7.5000e+01, 6.0000e+01, 5.0000e-03, 8.7445e+01
7.5000e+01, 6.0000e+01, 1.0000e-02, 7.2813e+01
