# This file is generated on 06-Dec-2021 at 11:45:48 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.0000e-04, 2.1684e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 2.0177e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e-03, 1.7055e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 1.5443e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.3240e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.1795e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.0280e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 8.9286e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 7.6643e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 6.5323e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 5.5794e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 4.6847e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 3.8618e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 3.2802e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 2.6262e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 2.1034e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 1.6630e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 1.3044e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.0579e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 7.7390e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 5.3751e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 4.5159e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.0000e+01, 3.8970e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, 3.7193e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.0000e+01, 3.6941e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, 3.7170e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, 3.7672e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.9990e+01, 3.8313e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.0000e-04, 1.5193e+02
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0000e-03, 1.3953e+02
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.0000e-03, 1.1523e+02
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.0000e-03, 1.0309e+02
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 8.6816e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 7.6325e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 6.5471e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 5.5904e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 4.7066e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 3.9369e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 3.3074e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 2.7288e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 2.2097e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 1.8483e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 1.4545e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 1.1471e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 8.9688e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 6.9821e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 5.6426e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 4.1258e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 2.8785e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 4.0000e+01, 2.4225e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.0000e+01, 2.0956e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 6.0000e+01, 1.9896e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 7.0000e+01, 1.9570e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 8.0000e+01, 1.9478e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.0000e+01, 1.9542e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.9990e+01, 1.9703e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.0000e-04, 1.2427e+02
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.0000e-03, 1.1326e+02
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e-03, 9.2308e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.0000e-03, 8.2027e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.0000e-02, 6.8392e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 5.9686e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 5.0744e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 4.2920e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 3.5742e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 2.9576e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 2.4608e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 2.0093e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 1.6095e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 1.3336e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 1.0380e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 8.1045e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 6.2881e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 4.8676e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 3.9212e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 2.8607e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 1.9954e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.0000e+01, 1.6773e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.0000e+01, 1.4502e+00
