# This file is generated on 06-Dec-2021 at 11:45:48 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0685e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.4708e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.6849e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.7923e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.2613e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.9120e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.6671e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.4878e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.3526e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.2486e-01
