# This file is generated on 06-Dec-2021 at 11:47:10 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.0000e-04, 1.6521e+00, 2.3497e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-03, 1.6521e+00, 2.3497e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e-03, 1.6521e+00, 2.3497e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.0000e-03, 1.6521e+00, 2.3497e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 1.6521e+00, 2.3497e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 1.6521e+00, 2.3497e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 1.6521e+00, 2.3497e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 1.6521e+00, 2.3497e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 1.6521e+00, 2.3497e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 1.6035e+00, 2.2806e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 1.5140e+00, 2.1532e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 1.4002e+00, 1.9915e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 1.2596e+00, 1.7914e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 1.1491e+00, 1.6344e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 9.8005e-01, 1.3939e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 8.2049e-01, 1.1669e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 6.4977e-01, 9.2413e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 4.8892e-01, 6.9536e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 3.6665e-01, 5.2146e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 2.1359e-01, 3.0377e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 8.0706e-02, 1.1478e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.0000e-04, 1.6521e+00, 2.2225e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-03, 1.6521e+00, 2.2225e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.0000e-03, 1.6521e+00, 2.2225e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.0000e-03, 1.6521e+00, 2.2225e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 1.6521e+00, 2.2225e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 1.6521e+00, 2.2225e+00
