# This file is generated on 06-Dec-2021 at 11:29:41 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.9716e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.6215e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.7771e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.3498e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0943e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.2583e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.0753e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.2085e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.5544e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 6.0512e-01
