# This file is generated on 06-Dec-2021 at 11:29:41 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.0000e-04, 1.9616e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 1.7594e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e-03, 1.4770e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 1.3601e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.2144e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.1234e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.0286e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 9.4214e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 8.5691e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 7.7870e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 7.1068e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 6.4137e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 5.7102e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 5.1273e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 4.4031e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 3.7025e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 3.0453e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 2.4333e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.9607e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 1.3560e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 7.3348e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 3.2816e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.0000e+01, 5.8065e-03
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, -2.6317e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.0000e+01, -4.9476e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, -6.9862e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.9990e+01, -1.0462e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.0000e-04, 8.5777e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-03, 7.6932e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e-03, 6.4585e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.0000e-03, 5.9473e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 5.3103e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 4.9122e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 4.4978e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 4.1197e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 3.7470e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 3.4050e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 3.1076e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 2.8045e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 2.4969e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 2.2420e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 1.9253e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 1.6190e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 1.3316e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 1.0640e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 8.5735e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 5.9296e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 3.2073e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.0000e+01, 1.4350e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.0000e+01, 2.5390e-03
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e+01, -1.1508e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.0000e+01, -2.1635e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.0000e+01, -3.0549e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.9990e+01, -4.5746e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.0000e-04, 5.3135e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.0000e-03, 4.7656e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e-03, 4.0008e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.0000e-03, 3.6841e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.0000e-02, 3.2895e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 3.0429e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 2.7862e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 2.5520e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 2.3211e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 2.1092e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 1.9250e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 1.7373e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 1.5467e+00
