# This file is generated on 06-Dec-2021 at 11:37:42 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 7.5000e+01, 1.2556e+02, 5.0000e-04
1, 1, 7.5000e+01, 1.1396e+02, 1.0000e-03
1, 1, 7.5000e+01, 9.1589e+01, 3.0000e-03
1, 1, 7.5000e+01, 8.0525e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.5780e+01, 1.0000e-02
1, 1, 7.5000e+01, 5.6326e+01, 1.6000e-02
1, 1, 7.5000e+01, 4.6583e+01, 2.7000e-02
1, 1, 7.5000e+01, 3.8032e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.0161e+01, 7.7000e-02
1, 1, 7.5000e+01, 2.3622e+01, 1.3000e-01
1, 1, 7.5000e+01, 1.8588e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.4161e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.0432e+01, 6.0000e-01
1, 1, 7.5000e+01, 7.9179e+00, 9.5000e-01
1, 1, 7.5000e+01, 5.4737e+00, 1.7000e+00
1, 1, 7.5000e+01, 3.7362e+00, 3.0000e+00
1, 1, 7.5000e+01, 2.5653e+00, 5.1000e+00
1, 1, 7.5000e+01, 1.7871e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.3453e+00, 1.2000e+01
1, 1, 7.5000e+01, 9.3238e-01, 1.9000e+01
1, 1, 7.5000e+01, 6.3877e-01, 3.0000e+01
1, 1, 7.5000e+01, 4.9984e-01, 4.0000e+01
1, 1, 7.5000e+01, 4.1169e-01, 5.0000e+01
1, 1, 7.5000e+01, 3.5049e-01, 6.0000e+01
1, 1, 7.5000e+01, 3.0537e-01, 7.0000e+01
1, 1, 7.5000e+01, 2.7067e-01, 8.0000e+01
1, 1, 7.5000e+01, 2.2070e-01, 9.9990e+01
1, 1, 7.5000e+01, 1.2556e+02, 5.0000e-04
1, 1, 7.5000e+01, 1.1396e+02, 1.0000e-03
1, 1, 7.5000e+01, 9.1589e+01, 3.0000e-03
1, 1, 7.5000e+01, 8.0525e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.5780e+01, 1.0000e-02
1, 1, 7.5000e+01, 5.6326e+01, 1.6000e-02
1, 1, 7.5000e+01, 4.6583e+01, 2.7000e-02
1, 1, 7.5000e+01, 3.8032e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.0161e+01, 7.7000e-02
1, 1, 7.5000e+01, 2.3622e+01, 1.3000e-01
1, 1, 7.5000e+01, 1.8588e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.4161e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.0432e+01, 6.0000e-01
1, 1, 7.5000e+01, 7.9179e+00, 9.5000e-01
1, 1, 7.5000e+01, 5.4737e+00, 1.7000e+00
1, 1, 7.5000e+01, 3.7362e+00, 3.0000e+00
1, 1, 7.5000e+01, 2.5653e+00, 5.1000e+00
1, 1, 7.5000e+01, 1.7871e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.3453e+00, 1.2000e+01
1, 1, 7.5000e+01, 9.3238e-01, 1.9000e+01
1, 1, 7.5000e+01, 6.3877e-01, 3.0000e+01
1, 1, 7.5000e+01, 4.9984e-01, 4.0000e+01
1, 1, 7.5000e+01, 4.1169e-01, 5.0000e+01
1, 1, 7.5000e+01, 3.5049e-01, 6.0000e+01
1, 1, 7.5000e+01, 3.0537e-01, 7.0000e+01
1, 1, 7.5000e+01, 2.7067e-01, 8.0000e+01
1, 1, 7.5000e+01, 2.2070e-01, 9.9990e+01
1, 1, 7.5000e+01, 1.2556e+02, 5.0000e-04
1, 1, 7.5000e+01, 1.1396e+02, 1.0000e-03
1, 1, 7.5000e+01, 9.1589e+01, 3.0000e-03
1, 1, 7.5000e+01, 8.0525e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.5780e+01, 1.0000e-02
1, 1, 7.5000e+01, 5.6326e+01, 1.6000e-02
1, 1, 7.5000e+01, 4.6583e+01, 2.7000e-02
1, 1, 7.5000e+01, 3.8032e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.0161e+01, 7.7000e-02
1, 1, 7.5000e+01, 2.3622e+01, 1.3000e-01
1, 1, 7.5000e+01, 1.8588e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.4161e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.0432e+01, 6.0000e-01
1, 1, 7.5000e+01, 7.9179e+00, 9.5000e-01
1, 1, 7.5000e+01, 5.4737e+00, 1.7000e+00
1, 1, 7.5000e+01, 3.7362e+00, 3.0000e+00
1, 1, 7.5000e+01, 2.5653e+00, 5.1000e+00
1, 1, 7.5000e+01, 1.7871e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.3453e+00, 1.2000e+01
1, 1, 7.5000e+01, 9.3238e-01, 1.9000e+01
1, 1, 7.5000e+01, 6.3877e-01, 3.0000e+01
